Number,Spanish,English
1,de,of
2,que,that
3,no,No
4,a,a
5,la,the
6,el,the
7,y,Y
8,es,it is
9,en,in
10,lo,it
11,un,a
12,por,by
13,qué,what
14,me,I
15,una,a
16,los,the
17,se,I know
18,te,tea
19,con,with
20,para,for
21,está,this
22,mi,me
23,pero,but
24,sí,Yes
25,si,Yes
26,bien,right
27,eso,it's
28,su,its
29,las,the
30,yo,me
31,del,of
32,como,What
33,aquí,here
34,tu,your
35,al,to the
36,más,plus
37,le,you
38,esto,this
39,todo,all
40,ya,Already
41,estoy,am
42,ahora,now
43,muy,very
44,ha,he has
45,esta,is
46,así,So
47,vamos,we go
48,algo,something
49,hay,there are
50,bueno,Okay
51,tengo,I've got
52,él,the
53,cuando,when
54,estás,are
55,sé,HE
56,tú,your
57,nos,us
58,nada,any
59,cómo,What
60,este,East
61,o,either
62,he,He
63,ser,be
64,tiene,have
65,puedo,Can I
66,ella,she
67,quiero,I want
68,hacer,do
69,fue,it was
70,gracias,Thank you
71,vez,time
72,era,it was
73,soy,am
74,sólo,single
75,todos,everybody
76,porque,because
77,son,are
78,tienes,you have
79,creo,I think
80,voy,I go
81,sabes,you know
82,estaba,I was
83,puede,can
84,eres,are
85,ese,that
86,usted,you
87,entonces,then
88,hola,hello
89,solo,only
90,verdad,TRUE
91,casa,House
92,tan,so
93,quién,who
94,sus,their
95,tiempo,weather
96,dos,two
97,esa,this
98,nunca,never
99,dónde,where
100,va,goes
101,oh,Oh
102,favor,favour
103,mucho,much
104,mí,my
105,quieres,you want
106,siento,I feel
107,señor,mister
108,mejor,better
109,hace,does
110,has,you have
111,decir,tell
112,también,also
113,sobre,on
114,dios,god
115,sin,without
116,tenemos,we have
117,están,is it so
118,ti,you
119,puedes,you may
120,ver,watch
121,hombre,men
122,vida,life
123,alguien,someone
124,cosas,stuff
125,siempre,forever
126,hasta,until
127,ahí,there
128,ir,to go
129,años,years
130,antes,before
131,estar,be
132,ni,neither
133,poco,little bit
134,día,day
135,uno,one
136,noche,night
137,hecho,done
138,mis,my
139,estamos,we're
140,otra,other
141,acuerdo,agreement
142,trabajo,worked
143,nosotros,us
144,parece,It seems
145,gente,people
146,sea,be
147,padre,dad
148,mira,look
149,mismo,same
150,dijo,said
151,nadie,no one
152,quiere,wants
153,podría,could
154,hablar,speak
155,vas,you go
156,ellos,they
157,sr.,Mr.
158,tal,such
159,pasa,happens
160,fuera,outside
161,después,after
162,han,they have
163,desde,since
164,dinero,money
165,mundo,world
166,claro,Sure
167,momento,moment
168,les,them
169,tener,to have
170,estado,condition
171,otro,other
172,había,there was
173,mañana,morning
174,tenía,I had
175,madre,mother
176,vale,okay
177,lugar,place
178,haciendo,making
179,donde,where
180,seguro,sure
181,sabe,knows
182,podemos,can
183,tus,your
184,espera,wait
185,nuevo,new
186,sido,been
187,cosa,stuff
188,hijo,son
189,allí,over there
190,menos,less
191,tipo,Type
192,amigo,dude
193,gran,great
194,nuestro,our
195,mujer,woman
196,mamá,breast
197,luego,later
198,papá,father
199,días,days
200,dice,He says
201,hoy,today
202,tres,three
203,buena,good
204,necesito,needed
205,dije,said
206,oye,hears
207,gusta,like
208,quería,wanted
209,será,will be
210,haber,to have
211,parte,part
212,todas,all
213,crees,You believe
214,buen,good
215,conmigo,with me
216,nombre,Name
217,mierda,shit
218,nuestra,our
219,mal,wrong
220,debe,must
221,realmente,Really
222,estas,these
223,aún,even
224,mío,Own
225,toda,all
226,hacerlo,do it
227,cada,each
228,visto,viewed
229,importa,It matters
230,contigo,with you
231,tienen,have
232,hemos,we have
233,razón,reason
234,alguna,some
235,tanto,so much
236,saber,to know
237,hizo,made
238,veces,times
239,serio,I laughed
240,ven,come
241,idea,idea
242,eh,Hey
243,tarde,afternoon
244,problema,issue
245,hora,hour
246,cierto,certain
247,dicho,saying
248,quien,who
249,demasiado,too
250,amor,love
251,entre,Come in
252,ve,go
253,pasado,past
254,familia,family
255,estos,these
256,policía,policeman
257,debería,should
258,ustedes,your
259,chica,girl
260,esos,those
261,chicos,Boys
262,cuenta,bill
263,haces,you do
264,todavía,yet
265,salir,leave
266,algún,some
267,vaya,wow
268,unos,some
269,veo,I see
270,amigos,friends
271,hermano,brother
272,pensé,I thought
273,sabía,I knew
274,cabeza,head
275,ah,ah
276,cariño,sweetie
277,digo,say
278,van,go
279,hombres,mens
280,buenas,good
281,somos,are
282,cualquier,any
283,forma,form
284,mientras,while
285,lado,side
286,debo,I shall
287,sería,would
288,caso,case
289,pueden,they can
290,pasó,I pass
291,primera,first
292,genial,cool
293,chico,boy
294,supuesto,supposed
